Plant	Type	Treatment	conc	uptake
Qn1	Quebec	nonchilled	95	16
Qn1	Quebec	nonchilled	175	30.4
Qn1	Quebec	nonchilled	250	34.8
Qn1	Quebec	nonchilled	350	37.2
Qn1	Quebec	nonchilled	500	35.3
Qn1	Quebec	nonchilled	675	39.2
Qn1	Quebec	nonchilled	1000	39.7
Qn2	Quebec	nonchilled	95	13.6
Qn2	Quebec	nonchilled	175	27.3
Qn2	Quebec	nonchilled	250	37.1
Qn2	Quebec	nonchilled	350	41.8
Qn2	Quebec	nonchilled	500	40.6
Qn2	Quebec	nonchilled	675	41.4
Qn2	Quebec	nonchilled	1000	44.3
Qn3	Quebec	nonchilled	95	16.2
Qn3	Quebec	nonchilled	175	32.4
Qn3	Quebec	nonchilled	250	40.3
Qn3	Quebec	nonchilled	350	42.1
Qn3	Quebec	nonchilled	500	42.9
Qn3	Quebec	nonchilled	675	43.9
Qn3	Quebec	nonchilled	1000	45.5
Qc1	Quebec	chilled	95	14.2
Qc1	Quebec	chilled	175	24.1
Qc1	Quebec	chilled	250	30.3
Qc1	Quebec	chilled	350	34.6
Qc1	Quebec	chilled	500	32.5
Qc1	Quebec	chilled	675	35.4
Qc1	Quebec	chilled	1000	38.7
Qc2	Quebec	chilled	95	9.3
Qc2	Quebec	chilled	175	27.3
Qc2	Quebec	chilled	250	35
Qc2	Quebec	chilled	350	38.8
Qc2	Quebec	chilled	500	38.6
Qc2	Quebec	chilled	675	37.5
Qc2	Quebec	chilled	1000	42.4
Qc3	Quebec	chilled	95	15.1
Qc3	Quebec	chilled	175	21
Qc3	Quebec	chilled	250	38.1
Qc3	Quebec	chilled	350	34
Qc3	Quebec	chilled	500	38.9
Qc3	Quebec	chilled	675	39.6
Qc3	Quebec	chilled	1000	41.4
